Rg	Dos.	Favoris	Vidéo	NOM Prénom	Tps	Cat	Rg/Cat	Rg/S	Equipe	TOD	Swim	Cycle	Run	Swim	Cycle	Run
114	460			Frederic LEVEILLE	02:27:04	VEM	31	109	NANTES TRI	17:10:56	00:37:39	01:09:10	00:40:14	00:37:39	01:09:10	00:40:14
115	134			Charly JOSSO	02:27:17	SEM	75	110	TRI COTE D AMOUR	17:11:09	00:30:49	01:10:55	00:45:32	00:30:49	01:10:55	00:45:32
116	155			Tristan THEBAULT	02:27:27	VEM	32	111	TRI COTE D AMOUR	17:11:19	00:31:52	01:11:04	00:44:31	00:31:52	01:11:04	00:44:31
117	402			Simon GUILLOUX	02:27:30	SEM	76	112	LEVALLOIS TRI	17:11:22	00:32:52	01:10:04	00:44:33	00:32:52	01:10:04	00:44:33
118	646			Stephane YGONIN	02:27:36	VEM	33	113	AS ENERGY 91 TRI	17:11:28	00:35:03	01:08:20	00:44:13	00:35:03	01:08:20	00:44:13
119	659			Thierry COLLET	02:27:40	VEM	34	114	TRIATHLON CLUB LOCMINE	17:11:31	00:41:40	01:09:21	00:36:37	00:41:40	01:09:21	00:36:37
120	930			Herve LAMARRE	02:27:40	VEM	35	115	TRI CLUB ST QUENTIN EN YVEL	17:11:32	00:33:42	01:10:06	00:43:52	00:33:42	01:10:06	00:43:52
121	387			Michel POZZO DI BORGO	02:27:44	VEM	36	116	COURBEVOIE TRI	17:11:36	00:33:40	01:09:53	00:44:10	00:33:40	01:09:53	00:44:10
122	520			Romain PITON	02:27:57	SEM	77	117	SAINT AVERTIN SPORTS TRI 37	17:11:49	00:35:21	01:11:35	00:41:00	00:35:21	01:11:35	00:41:00
123	219			Fabien DEGAS	02:27:58	VEM	37	118	TOBESPORT	17:11:50	00:35:40	01:11:08	00:41:09	00:35:40	01:11:08	00:41:09
124	760			Fabrice DELAETER	02:27:58	SEM	78	119	PARIS	17:11:50	00:35:23	01:12:45	00:39:50	00:35:23	01:12:45	00:39:50
125	166			Thibault DUPONT	02:28:15	SEM	79	120	TRI VELOCE SAINT SEBASTIEN	17:12:07	00:39:02	01:08:36	00:40:35	00:39:02	01:08:36	00:40:35
126	115			Ludovic VERDIER	02:28:19	VEM	38	121	TRI CLUB NANTAIS	17:12:11	00:36:20	01:09:51	00:42:07	00:36:20	01:09:51	00:42:07
127	290			Pierre Yves BUARD	02:28:19	SEM	80	122	MAT 72  LE MANS ASSOCIATION TRIA	17:12:11	00:36:22	01:10:32	00:41:24	00:36:22	01:10:32	00:41:24
128	270			Damien LECHEVALIER	02:28:27	SEM	81	123	TRIATHLE VANNES	17:12:19	00:39:12	01:09:49	00:39:25	00:39:12	01:09:49	00:39:25
129	537			Laurent SOYER	02:28:48	VEM	39	124	LA ROCHELLE TRI	17:12:40	00:35:45	01:12:06	00:40:56	00:35:45	01:12:06	00:40:56
130	132			Stephane GUILLOU	02:28:54	VEM	40	125	TRI COTE D AMOUR	17:12:45	00:32:30	01:10:22	00:46:00	00:32:30	01:10:22	00:46:00
131	416			Loic DUMUSOY	02:29:04	VEM	41	126	VALLEE DE MONTMORENCY TRI	17:12:56	00:35:21	01:07:19	00:46:23	00:35:21	01:07:19	00:46:23
132	105			Alexandre RACOUET	02:29:11	SEM	82	127	TRI CLUB NANTAIS	17:13:03	00:33:49	01:09:51	00:45:30	00:33:49	01:09:51	00:45:30
133	1016			Simon DOS SANTOS	02:29:12	SEM	83	128	SAINTES TRIATHLON	17:13:03	00:39:44	01:10:16	00:39:11	00:39:44	01:10:16	00:39:11
134	904			Nicolas BEAUNIEUX	02:29:13	VEM	42	129	TRI ATLANTIQUE CARQUEFOU MANITOU |	17:13:05	00:35:11	01:08:03	00:45:59	00:35:11	01:08:03	00:45:59
135	268			Valentin GRAVOT	02:29:15	SEM	84	130	TRIATHLE VANNES	17:13:07	00:34:21	01:08:48	00:46:05	00:34:21	01:08:48	00:46:05
136	84			Florent JOLIVET	02:29:16	SEM	85	131	TRI CLUB NANTAIS	17:13:08	00:35:57	01:10:52	00:42:26	00:35:57	01:10:52	00:42:26
137	153			Mikael THEAUD	02:29:26	VEM	43	132	TRI COTE D AMOUR	17:13:17	00:36:48	01:10:19	00:42:18	00:36:48	01:10:19	00:42:18
138	424			Clement CHANEL	02:29:30	SEM	86	133	ASTC THALES	17:13:22	00:40:03	01:10:54	00:38:33	00:40:03	01:10:54	00:38:33
139	960			Stephane PANTAIS	02:29:31	VEM	44	134	LA ROCHE VENDEE TRIATHLON	17:13:23	00:38:27	01:09:20	00:41:44	00:38:27	01:09:20	00:41:44
140	602			Antoine GODET	02:29:33	SEM	87	135	RACING MULTI ATHLON	17:13:24	00:31:30	01:11:42	00:46:20	00:31:30	01:11:42	00:46:20
