Rg	Dos.	Favoris	Vidéo	NOM Prénom	Tps	Cat	Rg/Cat	Rg/S	Equipe	TOD	Swim	Cycle	Run	Swim	Cycle	Run
326	886			Eric PAVIE	02:39:59	VEM	145	317	MONTREUIL	17:23:51	00:43:29	01:14:06	00:42:23	00:43:29	01:14:06	00:42:23
327	430			Pascal HEBERT	02:40:01	VEM	146	318	TC JOUE LES TOURS	17:23:52	00:36:28	01:14:56	00:48:36	00:36:28	01:14:56	00:48:36
328	271			Johan PFEIFFER	02:40:01	SEM	168	319	WAPITI TRI CLUB DE LARMOR PLA	17:23:53	00:31:06	01:16:48	00:52:06	00:31:06	01:16:48	00:52:06
329	288			Yoann BOURDIN	02:40:05	SEM	169	320	MAT 72  LE MANS ASSOCIATION TRIA	17:23:56	00:42:24	01:12:42	00:44:58	00:42:24	01:12:42	00:44:58
330	531			Arnaud LALANDE	02:40:08	VEM	147	321	TRI CLUB DE QUIMPER	17:24:00	00:36:44	01:14:09	00:49:14	00:36:44	01:14:09	00:49:14
331	73			Laurent GONON	02:40:09	VEM	148	322	TRI CLUB NANTAIS	17:24:00	00:43:42	01:13:14	00:43:12	00:43:42	01:13:14	00:43:12
332	499			Alexandre GUINEFORT	02:40:09	SEM	170	323	BEST TRI SAINT NAZAIRE	17:24:01	00:36:56	01:19:05	00:44:08	00:36:56	01:19:05	00:44:08
333	116			Richard BARBET	02:40:11	VEM	149	324	TRI COTE D AMOUR	17:24:03	00:38:33	01:15:13	00:46:24	00:38:33	01:15:13	00:46:24
334	323			Hugues DANGY	02:40:16	VEM	150	325	STADE FRANCAIS	17:24:07	00:39:55	01:14:32	00:45:48	00:39:55	01:14:32	00:45:48
335	855			Didier BOURGET	02:40:19	VEM	151	326	USA TRIATHLON	17:24:10	00:32:43	01:14:46	00:52:50	00:32:43	01:14:46	00:52:50
336	287			Benoit BORDONADO	02:40:24	VEM	152	327	MAT 72  LE MANS ASSOCIATION TRIA	17:24:16	00:35:42	01:15:31	00:49:10	00:35:42	01:15:31	00:49:10
337	780			Morgane GOBIN	02:40:24	SEF	9	10	SCA 2000 TRIATHLON EVRY	17:24:16	00:32:00	01:16:13	00:52:09	00:32:00	01:16:13	00:52:09
338	451			Wilfrid STINDEL	02:40:25	VEM	153	328	PAYS D ANCENIS CLUB TRI 44	17:24:17	00:36:08	01:13:44	00:50:33	00:36:08	01:13:44	00:50:33
339	12			Alain MOSSET	02:40:26	VEM	154	329	TRI COTE D AMOUR AIRBUS |	17:24:17	00:36:16	01:17:52	00:46:17	00:36:16	01:17:52	00:46:17
340	785			Christophe MARCHAND	02:40:31	VEM	155	330	PORNICHET	17:24:23	00:38:18	01:16:10	00:46:01	00:38:18	01:16:10	00:46:01
341	909			Steeve TAGLIONE	02:40:38	SEM	171	331	ADIDAS |	17:24:30	00:43:21	01:11:06	00:46:10	00:43:21	01:11:06	00:46:10
342	919			Thierry GRELIER	02:40:42	VEM	156	332	POISSY TRI	17:24:34	00:41:06	01:12:21	00:47:14	00:41:06	01:12:21	00:47:14
343	953			Laurent SELLIN	02:40:45	VEM	157	333	LES CENTAURES DE PERTUIS	17:24:36	00:37:19	01:17:03	00:46:21	00:37:19	01:17:03	00:46:21
344	3			Jean Marie ROINE	02:40:45	VEM	158	334	PAYS D ANCENIS CLUB TRI 44 CONSEIL DEPARTEMENTAL |	17:24:37	00:37:54	01:10:44	00:52:06	00:37:54	01:10:44	00:52:06
345	66			Samuel DEBURE	02:40:49	VEM	159	335	TRI CLUB NANTAIS	17:24:40	00:40:11	01:15:24	00:45:12	00:40:11	01:15:24	00:45:12
346	163			Cyrille COLLART	02:40:50	SEM	172	336	TRI VELOCE SAINT SEBASTIEN	17:24:41	00:38:26	01:16:23	00:46:00	00:38:26	01:16:23	00:46:00
347	71			Julien GAGNOT	02:40:53	SEM	173	337	TRI CLUB NANTAIS	17:24:45	00:37:01	01:13:11	00:50:40	00:37:01	01:13:11	00:50:40
348	864			Matthias LOBOGNON	02:41:01	VEM	160	338	BREST TRIATHLON	17:24:53	00:41:13	01:13:35	00:46:12	00:41:13	01:13:35	00:46:12
349	131			Basile GUIDAULT	02:41:04	SEM	174	339	TRI COTE D AMOUR	17:24:55	00:44:07	01:10:26	00:46:30	00:44:07	01:10:26	00:46:30
350	822			Jean Philippe LOUVET	02:41:06	VEM	161	340	YVETOT TRIATHLON	17:24:58	00:35:37	01:12:06	00:53:22	00:35:37	01:12:06	00:53:22
351	699			Thibaut GRARE	02:41:08	SEM	175	341	LA ROCHE-SUR-YON	17:24:59	00:34:38	01:18:59	00:47:29	00:34:38	01:18:59	00:47:29
352	1017			Christophe DROUARD	02:41:12	VEM	162	342	TOBESPORT	17:25:03	00:41:16	01:14:15	00:45:39	00:41:16	01:14:15	00:45:39
353	70			Marc FRANCOIS	02:41:17	VEM	163	343	TRI CLUB NANTAIS	17:25:09	00:40:11	01:15:14	00:45:51	00:40:11	01:15:14	00:45:51
354	102			Jacques PIQUET	02:41:23	VEM	164	344	TRI CLUB NANTAIS	17:25:15	00:35:37	01:08:00	00:57:45	00:35:37	01:08:00	00:57:45
355	113			Aurelie THARREAU MECHINEAU	02:41:26	SEF	10	11	TRI CLUB NANTAIS	17:25:17	00:36:47	01:16:42	00:47:56	00:36:47	01:16:42	00:47:56
356	625			Luc SARLANDIE	02:41:26	SEM	176	345	LE CLUB TRI	17:25:17	00:37:53	01:13:54	00:49:38	00:37:53	01:13:54	00:49:38
357	638			Erwann JAN	02:41:32	VEM	165	346	BROCELIANDE TRI	17:25:23	00:39:36	01:10:56	00:50:59	00:39:36	01:10:56	00:50:59
358	221			Jean Christophe DUFOUR	02:41:38	VEM	166	347	TOBESPORT	17:25:29	00:43:23	01:16:40	00:41:34	00:43:23	01:16:40	00:41:34
359	401			Guillaume GRANDIN	02:41:38	SEM	177	348	LEVALLOIS TRI	17:25:30	00:36:18	01:14:48	00:50:32	00:36:18	01:14:48	00:50:32
360	331			Benoit ROCHETTE	02:41:39	SEM	178	349	UNION ATHLETIQUE SOCIETE GENERALE	17:25:31	00:37:20	01:18:38	00:45:40	00:37:20	01:18:38	00:45:40
361	643			Ludovic TIZON	02:41:39	VEM	167	350	ASCR TRI	17:25:31	00:40:35	01:14:27	00:46:37	00:40:35	01:14:27	00:46:37
362	538			Jerome PROTON	02:41:40	VEM	168	351	LA ROCHELLE TRI	17:25:32	00:39:00	01:14:49	00:47:50	00:39:00	01:14:49	00:47:50
363	96			Benoit MOREAUD	02:41:42	VEM	169	352	TRI CLUB NANTAIS	17:25:34	00:41:27	01:11:49	00:48:25	00:41:27	01:11:49	00:48:25
364	493			Christoph KLUTH	02:41:44	VEM	170	353	BEST TRI SAINT NAZAIRE	17:25:36	00:35:47	01:14:17	00:51:39	00:35:47	01:14:17	00:51:39
365	478			Olivier DUBOUCHET	02:41:47	VEM	171	354	BLAIN TRI	17:25:39	00:40:35	01:13:11	00:48:00	00:40:35	01:13:11	00:48:00
366	517			Laurent JACQUES	02:41:49	VEM	172	355	BISCARROSSE OLYMPIQUE TRI	17:25:40	00:40:58	01:13:08	00:47:42	00:40:58	01:13:08	00:47:42
367	882			Romain DEL FABRO	02:41:50	SEM	179	356	ASL GDF SUEZ	17:25:41	00:39:01	01:14:52	00:47:56	00:39:01	01:14:52	00:47:56
368	220			Quentin DEMASSIEUX	02:41:52	SEM	180	357	TOBESPORT	17:25:43	00:43:43	01:13:45	00:44:23	00:43:43	01:13:45	00:44:23
369	770			Florian DROUARD	02:41:53	SEM	181	358	BEAUVAIS TRIATHLON	17:25:45	00:37:20	01:17:35	00:46:58	00:37:20	01:17:35	00:46:58
370	627			Frederic LE QUEC	02:41:55	VEM	173	359	HAC TRI	17:25:46	00:39:33	01:18:10	00:44:10	00:39:33	01:18:10	00:44:10
371	224			Herve GAUDILLAT	02:41:56	VEM	174	360	TOBESPORT	17:25:48	00:41:10	01:15:05	00:45:40	00:41:10	01:15:05	00:45:40
372	60			Bertrand CALIEZ	02:41:58	VEM	175	361	TRI CLUB NANTAIS	17:25:49	00:36:10	01:12:49	00:52:57	00:36:10	01:12:49	00:52:57
373	138			Thierry LANGUIL	02:41:58	VEM	176	362	TRI COTE D AMOUR	17:25:50	00:39:59	01:13:46	00:48:12	00:39:59	01:13:46	00:48:12
374	897			David BECHEMILH	02:41:59	SEM	182	363	MANITOU |	17:25:50	00:41:50	01:12:55	00:47:13	00:41:50	01:12:55	00:47:13
375	413			Gilles ARGUILLES	02:41:59	VEM	177	364	TRI SANNOIS FRANCONVILLE	17:25:51	00:42:38	01:14:17	00:45:03	00:42:38	01:14:17	00:45:03
376	390			Regis LAUPRETE	02:41:59	VEM	178	365	ENTENTE SPORTIVE NANTERRE	17:25:51	00:42:56	01:14:17	00:44:45	00:42:56	01:14:17	00:44:45
377	924			Henri-Jean POLAERT	02:42:00	VEM	179	366	POISSY TRI	17:25:52	00:43:14	01:15:02	00:43:43	00:43:14	01:15:02	00:43:43
378	983			Alexandre GAUFFENY	02:42:02	SEM	183	367	CLUB YERROIS DE TRI 91	17:25:54	00:38:50	01:14:44	00:48:27	00:38:50	01:14:44	00:48:27
379	547			Valerie HAMON	02:42:09	SEF	11	12	TEAM CHARENTES TRI	17:26:01	00:37:27	01:18:36	00:46:06	00:37:27	01:18:36	00:46:06
380	124			Fabrice DOUAUD	02:42:10	VEM	180	368	TRI COTE D AMOUR	17:26:02	00:36:11	01:15:57	00:50:01	00:36:11	01:15:57	00:50:01
381	171			Vincent ROUSSEAU	02:42:10	VEM	181	369	TRI VELOCE SAINT SEBASTIEN	17:26:02	00:37:57	01:17:27	00:46:45	00:37:57	01:17:27	00:46:45
382	298			Fabrice PELTIER	02:42:10	SEM	184	370	MAT 72  LE MANS ASSOCIATION TRIA	17:26:02	00:36:31	01:18:09	00:47:30	00:36:31	01:18:09	00:47:30
383	8			Sylvain GOBICHON	02:42:11	VEM	182	371	AIRBUS |	17:26:03	00:42:36	01:12:44	00:46:50	00:42:36	01:12:44	00:46:50
384	825			David ANDREAUX	02:42:13	VEM	183	372	TRIATHLON CLUB CARCASSONNAIS	17:26:05	00:31:37	01:16:41	00:53:54	00:31:37	01:16:41	00:53:54
385	666			Nicolas NORMAND	02:42:17	SEM	185	373	CHARTRES METROPOLE TRIATHLON	17:26:09	00:36:38	01:13:49	00:51:49	00:36:38	01:13:49	00:51:49
386	104			Emmanuel PROD HOMME	02:42:20	VEM	184	374	TRI CLUB NANTAIS	17:26:11	00:41:01	01:14:54	00:46:24	00:41:01	01:14:54	00:46:24
387	354			Pierre Alexandre LEMAITRE	02:42:25	SEM	186	375	TRI CLUB TORCY	17:26:16	00:36:06	01:16:03	00:50:15	00:36:06	01:16:03	00:50:15
388	644			Herve DELEPINE	02:42:31	VEM	185	376	ASCR TRI	17:26:23	00:39:09	01:15:10	00:48:11	00:39:09	01:15:10	00:48:11
389	548			Kevin RIZZOTTO	02:42:33	SEM	187	377	CAEN TRI	17:26:24	00:39:35	01:18:24	00:44:33	00:39:35	01:18:24	00:44:33
390	1008			Nicolas LANGLOIS	02:42:37	VEM	186	378		17:26:29	00:38:23	01:16:47	00:47:26	00:38:23	01:16:47	00:47:26
391	789			Pierre-Antoine LORTHIOS	02:42:40	SEM	188	379	HEM	17:26:32	00:41:38	01:17:58	00:43:04	00:41:38	01:17:58	00:43:04
392	805			David PINEAU	02:42:45	SEM	189	380	PARIS	17:26:36	00:43:03	01:13:45	00:45:55	00:43:03	01:13:45	00:45:55
393	261			Laurent LACHAZE	02:42:47	VEM	187	381	LAVAL TRI CLUB	17:26:39	00:36:07	01:17:10	00:49:29	00:36:07	01:17:10	00:49:29
394	183			Wilfrid BODET	02:42:50	VEM	188	382	ANJOU TRI TRELAZE	17:26:42	00:41:57	01:12:57	00:47:56	00:41:57	01:12:57	00:47:56
395	358			Luc VIEGAS-MAU	02:42:55	VEM	189	383	SAINTE GENEVIEVE TRI	17:26:47	00:35:14	01:13:08	00:54:32	00:35:14	01:13:08	00:54:32
396	18			Mathieu DEBRAY	02:42:56	SEM	190	384	SAINT HERBLAIN TRI	17:26:48	00:42:27	01:13:09	00:47:19	00:42:27	01:13:09	00:47:19
397	250			Stephane GENDRY	02:43:02	SEM	191	385	CHATEAU GONTIER TRI	17:26:54	00:43:43	01:13:21	00:45:58	00:43:43	01:13:21	00:45:58
398	241			Patrick HINAULT	02:43:03	VEM	190	386	CHERBOURG TRI	17:26:55	00:40:19	01:19:11	00:43:32	00:40:19	01:19:11	00:43:32
399	1021			Henri AVRIL	02:43:04	VEM	191	387	TRIATHLON HAUTE SAINTONGE	17:26:55	00:44:17	01:14:10	00:44:36	00:44:17	01:14:10	00:44:36
400	806			Hugues DE MEZERAC	02:43:05	SEM	192	388	CAPGEMINI	17:26:57	00:35:26	01:17:24	00:50:15	00:35:26	01:17:24	00:50:15
401	622			Jean Michel CRUSSON	02:43:07	VEM	192	389	LORIENT TRI FLK	17:26:59	00:42:10	01:17:17	00:43:39	00:42:10	01:17:17	00:43:39
402	428			Jean-Marc AUTRIC	02:43:10	SEM	193	390	TC JOUE LES TOURS	17:27:02	00:36:29	01:26:04	00:40:35	00:36:29	01:26:04	00:40:35
403	857			Patrick MICHEL	02:43:19	VEM	193	391	NOISY TRI	17:27:11	00:41:26	01:15:41	00:46:10	00:41:26	01:15:41	00:46:10
404	1014			Xavier PLASSAIS	02:43:21	VEM	194	392	TRI COTE D AMOUR	17:27:13	00:43:21	01:14:10	00:45:49	00:43:21	01:14:10	00:45:49
405	145			Franck PIRON	02:43:23	SEM	194	393	TRI COTE D AMOUR	17:27:14	00:36:45	01:18:08	00:48:29	00:36:45	01:18:08	00:48:29
406	1018			Jerome GROUSSARD	02:43:23	VEM	195	394	TOBESPORT	17:27:15	00:38:34	01:12:02	00:52:46	00:38:34	01:12:02	00:52:46
407	999			Nicolas ROUX	02:43:24	VEM	196	395	PARIS	17:27:15	00:35:49	01:16:18	00:51:16	00:35:49	01:16:18	00:51:16
408	935			Patrick LESAGE	02:43:25	VEM	197	396	VELIZY TRI	17:27:17	00:43:31	01:11:15	00:48:39	00:43:31	01:11:15	00:48:39
409	696			Antoine LEHUE	02:43:37	SEM	195	397	DOUE-LA-FONTAINE	17:27:29	00:43:25	01:13:03	00:47:08	00:43:25	01:13:03	00:47:08
410	720			Sebastien COUTAN	02:43:42	SEM	196	398	UDSP LOIRET TRI	17:27:34	00:43:01	01:13:37	00:47:03	00:43:01	01:13:37	00:47:03
411	831			Julian PARSONS	02:43:42	VEM	198	399	COURBEVOIE	17:27:34	00:41:18	01:16:28	00:45:55	00:41:18	01:16:28	00:45:55
412	381			Philippe LAUPRETE	02:43:45	VEM	199	400	COURBEVOIE TRI	17:27:37	00:40:34	01:16:40	00:46:30	00:40:34	01:16:40	00:46:30
413	841			Raphael JACQUEMARD	02:43:46	VEM	200	401	COURBEVOIE	17:27:38	00:41:17	01:13:33	00:48:55	00:41:17	01:13:33	00:48:55
414	222			Gilles FLEURY	02:43:48	VEM	201	402	TOBESPORT	17:27:40	00:40:11	01:15:33	00:48:03	00:40:11	01:15:33	00:48:03
415	161			Didier SEGONDS	02:43:51	VEM	202	403	TRI SPORT COUERONNAIS	17:27:43	00:44:17	01:13:35	00:45:59	00:44:17	01:13:35	00:45:59
416	376			Dominique DEPREY	02:43:53	VEM	203	404	COURBEVOIE TRI	17:27:45	00:39:41	01:15:33	00:48:37	00:39:41	01:15:33	00:48:37
417	615			Emmanuel FILLATRE	02:44:04	SEM	197	405	NOGENT SOLIDARITE TRI	17:27:56	00:45:59	01:14:16	00:43:48	00:45:59	01:14:16	00:43:48
418	530			Yann MARCHAND	02:44:11	VEM	204	406	TRI CLUB DE QUIMPER	17:28:03	00:33:42	01:16:35	00:53:54	00:33:42	01:16:35	00:53:54
419	593			Yannick BERNARD	02:44:14	VEM	205	407	SAINT LO TRI	17:28:06	00:39:52	01:12:10	00:52:12	00:39:52	01:12:10	00:52:12
420	728			Paul BARREYRE	02:44:15	VEM	206	408	ISSY-LES-MOULINEAUX	17:28:07	00:43:10	01:14:20	00:46:45	00:43:10	01:14:20	00:46:45
421	703			Jean-Baptiste BICHOT	02:44:20	SEM	198	409	LA BAULE-ESCOUBLAC	17:28:11	00:37:01	01:17:45	00:49:33	00:37:01	01:17:45	00:49:33
422	872			Walter POUCH	02:44:21	VEM	207	410	SAINT-MAUR-DES-FOSSES	17:28:13	00:42:30	01:17:23	00:44:27	00:42:30	01:17:23	00:44:27
423	551			Damien HUBER	02:44:30	VEM	208	411	CAEN TRI	17:28:22	00:41:07	01:14:18	00:49:05	00:41:07	01:14:18	00:49:05
424	810			Jeremie BENOIT	02:44:34	SEM	199	412	SALON-DE-PROVENCE	17:28:25	00:34:08	01:23:06	00:47:18	00:34:08	01:23:06	00:47:18
425	972			David LE ROUX	02:44:36	VEM	209	413	ST JEAN DE MONTS VENDEE TRI ATHLETISME	17:28:28	00:36:01	01:16:16	00:52:18	00:36:01	01:16:16	00:52:18
426	14			Jean Francois FIAUD	02:44:37	SEM	200	414	ATHLETIC CLUB BOULOGNE BILLANCOURT	17:28:29	00:40:45	01:16:57	00:46:54	00:40:45	01:16:57	00:46:54
427	1024			Marc MORISSET	02:44:38	VEM	210	415	TRI FLERS LA FERTE MACE	17:28:30	00:40:36	01:13:29	00:50:32	00:40:36	01:13:29	00:50:32
428	971			Emmanuel GRAVIER	02:44:40	VEM	211	416	ST JEAN DE MONTS VENDEE TRI ATHLETISME	17:28:32	00:40:12	01:13:34	00:50:54	00:40:12	01:13:34	00:50:54
429	918			Laurent GEOFFROY	02:44:41	VEM	212	417	POISSY TRI	17:28:32	00:36:44	01:11:25	00:56:31	00:36:44	01:11:25	00:56:31
430	486			J Christophe POTTIER	02:44:41	VEM	213	418	BEST TRI SAINT NAZAIRE	17:28:33	00:41:51	01:15:27	00:47:23	00:41:51	01:15:27	00:47:23
431	617			Charles NUTTENS	02:44:43	SEM	201	419	MONTFORT MERE TRI	17:28:35	00:39:27	01:18:18	00:46:56	00:39:27	01:18:18	00:46:56
432	82			Florian JAFFRE	02:44:49	SEM	202	420	TRI CLUB NANTAIS	17:28:40	00:39:38	01:16:53	00:48:17	00:39:38	01:16:53	00:48:17
433	257			Guillaume DAVID	02:44:52	SEM	203	421	LAVAL TRI CLUB	17:28:44	00:38:57	01:16:35	00:49:19	00:38:57	01:16:35	00:49:19
434	937			Marc MAILLART	02:44:54	VEM	214	422	VELIZY TRI	17:28:46	00:42:41	01:14:45	00:47:27	00:42:41	01:14:45	00:47:27
435	844			Alexandre ALATI	02:44:56	SEM	204	423	LIGUE BASSE NORMANDIE	17:28:48	00:42:22	01:12:56	00:49:37	00:42:22	01:12:56	00:49:37
436	10			Bruno THOREL	02:44:57	VEM	215	424	AIRBUS |	17:28:49	00:43:33	01:13:59	00:47:25	00:43:33	01:13:59	00:47:25
437	566			David ORIOT	02:44:58	VEM	216	425	WILD TEAM TRI	17:28:50	00:41:28	01:15:06	00:48:24	00:41:28	01:15:06	00:48:24
438	992			Jean Sebastien ARDOUIN	02:44:59	VEM	217	426	CLUB YERROIS DE TRI 91	17:28:51	00:41:00	01:15:30	00:48:29	00:41:00	01:15:30	00:48:29
439	408			Philippe CHARTIER	02:45:01	VEM	218	427	TRICEPS	17:28:53	00:41:13	01:14:25	00:49:21	00:41:13	01:14:25	00:49:21
440	669			Nicolas PREVITALI	02:45:02	SEM	205	428	PARIS	17:28:53	00:34:17	01:20:07	00:50:36	00:34:17	01:20:07	00:50:36
441	648			Bertrand GUEPRATTE	02:45:05	VEM	219	429	AS ENERGY 91 TRI	17:28:57	00:42:06	01:15:33	00:47:25	00:42:06	01:15:33	00:47:25
442	497			Tony GUIRRIEC	02:45:10	VEM	220	430	BEST TRI SAINT NAZAIRE	17:29:02	00:36:02	01:15:12	00:53:55	00:36:02	01:15:12	00:53:55
443	232			Jean Charles MORIO	02:45:17	VEM	221	431	TOBESPORT	17:29:09	00:43:34	01:14:14	00:47:27	00:43:34	01:14:14	00:47:27
444	742			Julien NIQUET	02:45:18	SEM	206	432	PARIS	17:29:10	00:41:32	01:16:07	00:47:39	00:41:32	01:16:07	00:47:39
445	188			Christophe BEDOUET	02:45:24	VEM	222	433	ASPTT ANGERS	17:29:15	00:39:18	01:13:14	00:52:52	00:39:18	01:13:14	00:52:52
446	35			Vincent BOUARD	02:45:25	SEM	207	434	TRI ATLANTIQUE CARQUEFOU	17:29:16	00:43:21	01:13:44	00:48:19	00:43:21	01:13:44	00:48:19
447	920			Nicolas JOURDAIN	02:45:39	SEM	208	435	POISSY TRI	17:29:30	00:45:18	01:12:36	00:47:44	00:45:18	01:12:36	00:47:44
448	958			Damien BICHON	02:45:45	SEM	209	436	LA ROCHE VENDEE TRI	17:29:37	00:48:25	01:13:13	00:44:06	00:48:25	01:13:13	00:44:06
449	168			Axel MAURIN	02:45:48	VEM	223	437	TRI VELOCE SAINT SEBASTIEN	17:29:39	00:39:27	01:12:44	00:53:36	00:39:27	01:12:44	00:53:36
450	891			Pierre-Yves LESCOB	02:45:49	VEM	224	438	TRIATHLON CLUB CLISSONNAIS	17:29:40	00:42:02	01:15:53	00:47:53	00:42:02	01:15:53	00:47:53
451	767			Stefan COLIN	02:45:53	VEM	225	439	NANTES	17:29:45	00:41:10	01:14:51	00:49:52	00:41:10	01:14:51	00:49:52
452	476			Matthieu LORGEOUX	02:45:55	SEM	210	440	BLAIN TRI	17:29:46	00:46:35	01:14:29	00:44:51	00:46:35	01:14:29	00:44:51
453	492			Anne LANTHIEZ	02:45:58	VEF	1	13	BEST TRI SAINT NAZAIRE	17:29:50	00:36:18	01:18:00	00:51:40	00:36:18	01:18:00	00:51:40
454	950			Marc Olivier CLAULIN	02:46:00	VEM	226	441	STADE NIORTAIS TRI	17:29:51	00:41:32	01:12:55	00:51:31	00:41:32	01:12:55	00:51:31
455	26			Stephane MALGORN	02:46:01	VEM	227	442	SAINT HERBLAIN TRI	17:29:53	00:42:04	01:12:45	00:51:11	00:42:04	01:12:45	00:51:11
456	65			Jacques DARBOIS	02:46:03	SEM	211	443	TRI CLUB NANTAIS	17:29:55	00:42:33	01:15:39	00:47:50	00:42:33	01:15:39	00:47:50
457	533			Christophe ORIEUX	02:46:04	VEM	228	444	CEPS DINAN ARMOR TRI	17:29:55	00:42:06	01:20:02	00:43:54	00:42:06	01:20:02	00:43:54
458	514			Fabrice GANACHAUD	02:46:04	VEM	229	445	ATHLETIC RETZ SUD LAC	17:29:56	00:35:59	01:14:37	00:55:28	00:35:59	01:14:37	00:55:28
459	683			Kevin GODARD	02:46:07	SEM	212	446	ARGENTEUIL	17:29:59	00:43:28	01:17:00	00:45:38	00:43:28	01:17:00	00:45:38
460	694			Jacques LAMIC	02:46:08	VEM	230	447	TRIATHLON SAINT REMY LES CHEVREUSE	17:29:59	00:40:46	01:19:58	00:45:23	00:40:46	01:19:58	00:45:23
461	1002			Francois BERA	02:46:12	SEM	213	448	PARIS	17:30:04	00:40:41	01:19:41	00:45:49	00:40:41	01:19:41	00:45:49
462	175			Philippe BUISSON	02:46:13	VEM	231	449	ANGERS TRI	17:30:05	00:37:54	01:17:14	00:51:04	00:37:54	01:17:14	00:51:04
463	981			Philippe BUCHER	02:46:14	VEM	232	450	CLUB YERROIS DE TRI 91	17:30:06	00:44:48	01:17:00	00:44:25	00:44:48	01:17:00	00:44:25
464	957			Jean Dominique SZTIMER	02:46:15	VEM	233	451	ILE DE NOIRMOUTIER TRI	17:30:07	00:42:21	01:15:30	00:48:23	00:42:21	01:15:30	00:48:23
465	44			Arnaud PIGNON	02:46:16	VEM	234	452	TRI ATLANTIQUE CARQUEFOU	17:30:07	00:42:29	01:17:06	00:46:40	00:42:29	01:17:06	00:46:40
466	505			Jean Michel CALLENS	02:46:16	VEM	235	453	BEST TRI SAINT NAZAIRE	17:30:08	00:41:23	01:15:55	00:48:57	00:41:23	01:15:55	00:48:57
467	216			Sebastien CONILLEAU	02:46:28	SEM	214	454	TOBESPORT	17:30:19	00:38:22	01:15:42	00:52:22	00:38:22	01:15:42	00:52:22
468	695			Maxime ROY	02:46:38	SEM	215	455	SAINT-NAZAIRE	17:30:30	00:35:22	01:19:58	00:51:17	00:35:22	01:19:58	00:51:17
469	880			Fabrice RANNOU	02:46:41	SEM	216	456	LIC  INDI CHAMPAGNE ARDENNE	17:30:33	00:40:23	01:16:35	00:49:42	00:40:23	01:16:35	00:49:42
470	671			Richard AGUDO	02:46:42	VEM	236	457	SUCE-SUR-ERDRE	17:30:33	00:43:37	01:14:00	00:49:04	00:43:37	01:14:00	00:49:04
471	9			Julien ROLLAND	02:46:43	SEM	217	458	AIRBUS |	17:30:34	00:38:31	01:18:30	00:49:41	00:38:31	01:18:30	00:49:41
472	769			Marc REUZE	02:46:43	VEM	237	459	BOULOGNE-BILLANCOURT	17:30:35	00:42:49	01:14:35	00:49:18	00:42:49	01:14:35	00:49:18
473	162			Etienne COLLART	02:46:45	SEM	218	460	TRI VELOCE SAINT SEBASTIEN	17:30:37	00:40:15	01:16:10	00:50:19	00:40:15	01:16:10	00:50:19
474	409			Benoit CHAVANNE	02:46:49	VEM	238	461	EPPG TRI CLUB 93	17:30:40	00:41:19	01:20:35	00:44:54	00:41:19	01:20:35	00:44:54
475	964			Franck CHAMBON	02:46:50	VEM	239	462	RVT	17:30:42	00:36:53	01:17:57	00:52:00	00:36:53	01:17:57	00:52:00
476	686			Florent BONHOMME	02:46:51	VEM	240	463	NANTES	17:30:43	00:40:58	01:16:04	00:49:47	00:40:58	01:16:04	00:49:47
477	816			Arnaud CAPP	02:46:56	SEM	219	464	PARIS	17:30:48	00:40:22	01:16:52	00:49:41	00:40:22	01:16:52	00:49:41
478	829			Mark WYATT	02:46:56	VEM	241	465	COURBEVOIE	17:30:48	00:45:01	01:16:52	00:45:02	00:45:01	01:16:52	00:45:02
479	729			Aurelien LE HOLLOCO	02:47:04	SEM	220	466	JOUY-LE-MOUTIER	17:30:56	00:36:53	01:18:07	00:52:03	00:36:53	01:18:07	00:52:03
480	76			Cedric GUILLAUD	02:47:04	VEM	242	467	TRI CLUB NANTAIS	17:30:56	00:43:52	01:18:49	00:44:22	00:43:52	01:18:49	00:44:22
481	282			Guenael RABEAU	02:47:10	SEM	221	468	ENDURANCE 72 TRI	17:31:01	00:44:24	01:15:33	00:47:12	00:44:24	01:15:33	00:47:12
482	239			Jerome VINCENT	02:47:11	SEM	222	469	TOBESPORT	17:31:03	00:42:34	01:12:01	00:52:36	00:42:34	01:12:01	00:52:36
483	202			Vincent REUNGOAT	02:47:12	SEM	223	470	CHOLET TRI	17:31:04	00:44:30	01:15:25	00:47:17	00:44:30	01:15:25	00:47:17
484	641			Philippe PLUYAUD	02:47:14	VEM	243	471	ASPTT TRI ORLEANS	17:31:06	00:45:59	01:15:15	00:45:58	00:45:59	01:15:15	00:45:58
485	532			Nicolas DELROEUX	02:47:15	SEM	224	472	EVREUX AC TRI	17:31:07	00:41:06	01:16:04	00:50:05	00:41:06	01:16:04	00:50:05
486	504			Bruno CERTENAIS	02:47:21	VEM	244	473	BEST TRI SAINT NAZAIRE	17:31:13	00:34:23	01:20:59	00:51:58	00:34:23	01:20:59	00:51:58
487	928			Cyrille TUFFIN	02:47:24	VEM	245	474	POISSY TRI	17:31:15	00:45:14	01:14:08	00:48:02	00:45:14	01:14:08	00:48:02
488	88			Tanguy LE MOULLEC	02:47:27	SEM	225	475	TRI CLUB NANTAIS	17:31:19	00:42:32	01:14:32	00:50:22	00:42:32	01:14:32	00:50:22
489	420			Guillaume HERBLAND	02:47:28	SEM	226	476	353 TRIATHLON CLUB	17:31:20	00:38:06	01:19:03	00:50:19	00:38:06	01:19:03	00:50:19
